fecha,seccion,apartado,referencia,empresa,texto,url
20260821,A,BARCELONA,387312,EMPOWERLIFT S.L,"Ampliación de capital. Capital: 12.300,00 Euros. Resultante Suscrito: 15.300,00 Euros. Ampliación de capital. Capital: 5.100,00 Euros. Resultante Suscrito: 20.400,00 Euros. Otros conceptos: DECLARACION DE PERDIDA DE UNIPERSONAL.  Datos registrales. S 8 , H B 626096, I/A 3 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387313,DUOVIA SERVICIOS DIGITALES S.L,"Constitución. Comienzo de operaciones: 15.09.26. Objeto social: ACTIVIDAD PRINCIPAL: 6220 / ACTIVIDADES DE CONSULTORIA INFORMATICA Y GESTION DE INSTALACIONES INFORMATICAS. OTRAS ACTIVIDADES: 5829 / EDICION DE OTROS PROGRAMAS INFORMATICOS. ETC. Domicilio: CL FRANCESC LAYRET NUM.18 P.4 PTA.A (ESPLUGUES DE LLOBREGAT). Capital: 1,00 Euros. Nombramientos. ADM.UNICO: COSANO PUERTA RAUL. Otros conceptos: DECLARACION DE SOCIEDAD UNIPERSONAL, SIENDO SOCIO UNICO RAUL COSANO PUERTA.  Datos registrales. S 8 , H B 662351, I/A 1 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387314,EQUITY BORDALLO S.L,"Revocaciones. ADM.UNICO: BORDALLO CORDERO SERGI. Nombramientos. ADM.UNICO: HIDROTECH BORDALLO SL. REPR.143 RRM: BORDALLO CORDERO SERGI.  Datos registrales. S 8 , H B 606265, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387315,REFORMAS A M 90 SL,"Cambio de denominación social. RAMU CUINES S.L. Cambio de domicilio social. PS COMERCIO Num.137 (SABADELL).  Datos registrales. S 8 , H B 168683, I/A 7 (15.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387316,ALEMANY ZARAGOZA Y ASOCIADOS SL,"Cambio de domicilio social. CL TUSET Num.32 P.6 PTA.2 (BARCELONA).  Datos registrales. S 8 , H B 183438, I/A 8 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387317,CHEMIPOL SA,"Nombramientos. ADM.SOLIDAR.: HIPPOCAMPUS GESTIO SL. REPR.143 RRM: BROTO ROMEO ELIAS.  Datos registrales. S 8 , H B 55358, I/A 50 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387318,XORVIRAP S.L,"Otros conceptos: ADQUISICION DE NACIONALIDAD ESPAÑOLA Y DE DNI POR PARTE DE ARSEN HOVHANNISYAN (ACTUALMENTE ARSEN HOVHANNISYAN KHANDILYAN),ADMINISTRADOR UNICO Y SOCIO UNICO DE LA SOCIEDAD.  Datos registrales. S 8 , H B 640900, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387319,BLIXMA CAPITAL GROUP S.L,"Nombramientos. APODERAD.SOL: GUIMARAES MAZPULE IRMA CARLOTTA.  Datos registrales. S 8 , H B 661047, I/A 2 (17.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387320,17 BAGES BUS S.A,"Nombramientos. APOD.SOL/MAN: SAGALES ORTEU RAMON;SAGALES ORTEU ANNA.  Datos registrales. S 8 , H B 77975, I/A 33 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387321,CENTER VILLAGE S.L,"Revocaciones. ADM.UNICO: MARIO TACINELLI. Nombramientos. ADM.UNICO: MORROS VAZQUEZ FRANCESC XAVIER.  Datos registrales. S 8 , H B 597642, I/A 8 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387322,VALLESANA DE MANTENIMENTS I SERVEIS SL,"Nombramientos. APODERAD.SOL: HERRUZO CASTELO TEODORO.  Datos registrales. S 8 , H B 104586, I/A 9 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387323,HOTEL ABBOT S.L,"Nombramientos. APODERAD.SOL: AINUR OSPANOVA.  Datos registrales. S 8 , H B 449241, I/A 7 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387324,RENTING-RIBS SL,"Cambio de denominación social. PROASAIL S.L.  Datos registrales. S 8 , H B 435049, I/A 6 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387325,MONARC CONCEPT S.L,"Cambio de domicilio social. RB GARRAF, NUMERO 48, LOCAL 6F (SANT PERE DE RIBES).  Datos registrales. S 8 , H B 662306, I/A 6 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387326,OPTINUIT SL,"Revocaciones. CONSEJERO: GONZALEZ ORTIGOSA ULPIANO. PRESIDENTE: GONZALEZ ORTIGOSA ULPIANO. CONS. DELEG.: GONZALEZ ORTIGOSA ULPIANO. CONSEJERO: ROLDAN FERNANDEZ PEDRO LUIS. SECRETARIO: ROLDAN FERNANDEZ PEDRO LUIS. CONSEJERO: ORTIGOSA GIRON TERESA.  Datos registrales. S 8 , H B 425523, I/A 2 (13.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
